,precision,recall,f1-score,support
0,0.83,0.64,0.72,39.0
1,0.89,0.96,0.92,114.0
accuracy,0.88,0.88,0.88,0.88
macro avg,0.86,0.8,0.82,153.0
weighted avg,0.87,0.88,0.87,153.0
