,precision,recall,f1-score,support
0,0.58,0.74,0.65,39.0
1,0.9,0.82,0.86,114.0
accuracy,0.8,0.8,0.8,0.8
macro avg,0.74,0.78,0.75,153.0
weighted avg,0.82,0.8,0.8,153.0
